Round,Table,Players,Decks,Winner
Round 6,70,"Jake Swales He/They
George Stuart He/Him","Izzet Lessons
Izzet Spellementals",George Stuart won 2-0-0
Round 6,71,"T0bb3 He/Him
LinkangYang He/Him","Izzet Prowess
Izzet Lessons",T0bb3 won 2-1-0
Round 6,72,"Thomas Chenery He/Him
Pierre Liebsch He/Him","Izzet Spellementals
Temur Harmonizer",Pierre Liebsch won 2-0-0
Round 6,73,"Franco Cicchini He/Him
Juan Manuel Lorenzi He/Him","Izzet Prowess
Selesnya Landfall",Franco Cicchini won 2-1-0
Round 6,74,"Paul Bittner He/Him
Lena Marchant She/Her","Azorius Prison
Izzet Lessons",Lena Marchant won 2-1-0
Round 6,75,"André Santos
Callum Bousfield","Selesnya Landfall
Izzet Prowess",Callum Bousfield won 2-1-0
Round 6,76,"Alberto Santos
Oscar Christensen He/Him","Izzet Prowess
Selesnya Ouroboroid",Oscar Christensen won 2-0-0
Round 6,77,"Nicholas Brown
Viktor Hybinette He/Him","Selesnya Landfall
Golgari Demons",Viktor Hybinette won 2-1-0
Round 6,78,"Andy Stephens He/Him
Pär Jones He/Him","Selesnya Landfall
Golgari Midrange",Andy Stephens won 2-1-0
Round 6,79,"Jamie Popay He/Him
Gavin Thacker","Golgari Midrange
Boros Dragons",Gavin Thacker won 2-0-0
Round 6,80,"Zak Cowen
ucoconut871 Other","Izzet Prowess
Izzet Prowess",ucoconut871 won 2-1-0
Round 6,81,"Miguel Magalhaes He/Him
alexwalton64 He/Him","Selesnya Ouroboroid
Izzet Spellementals",alexwalton64 won 2-1-0
Round 6,82,"enraeh He/Him
Bryant Yang He/Him","Sultai Excruciator
Izzet Prowess",enraeh won 2-1-0
Round 6,83,"Elevenzees He/Him
Kamen Kamenov He/Him","Izzet Lessons
Four-Color Elementals",Elevenzees won 2-1-0
Round 6,84,"Maciej Olczak He/Him
Shadybadger46 He/Him","Selesnya Landfall
Mono-Blue Control",Maciej Olczak won 2-1-0
Round 6,85,"Lewis Foster He/Him
HarryHollingworth He/They","Selesnya Landfall
Bant Rhythm",HarryHollingworth won 2-0-0
Round 6,86,"Francesco Alacca He/Him
Klaus_Mikaelson He/Him","Izzet Lessons
Four-Color Control",Francesco Alacca won 2-1-0
Round 6,87,"Manuel Danninger He/Him
Marco Oliveto He/Him","Izzet Lessons
Golgari Rhythm",Manuel Danninger won 2-0-0
Round 6,88,"CraigLong He/Him
Cristian Jimenez He/Him","Dimir Excruciator
Four-Color Control",CraigLong won 2-0-0
Round 6,89,"Jack Buckland
DThomps He/Him","Selesnya Landfall
Izzet Prowess",DThomps won 2-0-0
Round 6,90,"shaneoc He/Him
Andrei Nikolov","Izzet Prowess
Izzet Prowess",Andrei Nikolov won 2-0-0
Round 6,91,"Kevin Broløs He/Him
Dylan Coates He/Him","Izzet Prowess
Izzet Lessons",Dylan Coates won 2-0-0
Round 6,92,"Wojciech Kowalczuk He/Him
Will Berrington He/Him","Selesnya Landfall
Mono-Green Landfall",Will Berrington won 2-0-0
Round 6,93,"Siamon He/Him
Patrick Burchert He/Him","Selesnya Ouroboroid
Azorius Prison",1-1-0 Draw
Round 6,94,"Russell Seeley He/Him
Charlie Kennett He/Him","Golgari Midrange
Dimir Excruciator",Russell Seeley won 2-0-0
Round 6,95,"Francisco Sanchez
drakharrris He/Him","Izzet Prowess
Izzet Lessons",Francisco Sanchez won 2-0-0
Round 6,96,"Unkillable13 He/Him
Dawid Florczyk","Izzet Prowess
Izzet Lessons",Dawid Florczyk won 2-1-0
Round 6,97,"Tom Law He/Him
Andrew Berry","Selesnya Landfall
Izzet Spellementals",Andrew Berry won 2-1-0
Round 6,98,"spikesmaster He/Him
Marcio Carvalho","Selesnya Ouroboroid
Selesnya Landfall",Marcio Carvalho won 2-0-0
Round 6,99,"Jasper Nielsen He/Him
Cosmin Achim He/Him","Izzet Spellementals
Mardu Demons",Jasper Nielsen won 2-0-0
Round 6,100,"Nostromo He/Him
Ashley Baden He/Him","Izzet Prowess
Mono-Green Landfall",Ashley Baden won 2-1-0
Round 6,101,"Andrew Fiedler He/Him
Skite He/They","Dimir Excruciator
Selesnya Landfall",Skite won 2-0-0
Round 6,102,"AlexRoebuck He/Him
Sandro1811 He/Him","Izzet Prowess
Dimir Bounce",AlexRoebuck won 2-0-0
Round 6,103,"Sandiagos He/Him
James Jenkins He/Him","Abzan Lifegain
Izzet Prowess",James Jenkins won 2-1-0
Round 6,104,"Coulsy He/Him
ZakP He/Him","Azorius Artifacts
Mono-Green Landfall",ZakP won 2-1-0
Round 6,105,"George Berrett He/Him
Chris Mander He/Him","Dimir Excruciator
Izzet Prowess",George Berrett won 2-0-0
Round 6,106,"Picomtg
Ine Jernelv","Bant Rhythm
Izzet Lessons",Ine Jernelv won 2-1-0
Round 6,107,"Geri925 He/Him
Gary Smith He/Him","Selesnya Rhythm
Jeskai Control",Gary Smith won 2-1-0
Round 6,108,"Max Staas He/Him
Christian Smith He/Him","Dimir Excruciator
Azorius Prison",Christian Smith won 2-1-0
Round 6,109,"Harry_Ersky He/Him
Rodney Bedell","Izzet Lessons
Selesnya Landfall",Rodney Bedell won 2-0-0
Round 6,110,"HarW7
Rookiemookie He/Him","Four-Color Control
Jeskai Control",Rookiemookie won 2-1-0
Round 6,111,"Raynor Kuang He/Him
Niels Wardenier He/Him","Boros Dragons
Azorius Prison",Niels Wardenier won 2-1-0
Round 6,112,"James Ball He/Him
Lukas Paugsch","Izzet Prowess
Dimir Excruciator",James Ball won 2-1-0
Round 6,113,"Gonçalo Paneiro He/Him
Edgar Baumler He/Him","Izzet Prowess
Bant Rhythm",Edgar Baumler won 2-1-0
Round 6,114,"no_justice_mtg She/Her
Julian Lamprecht He/Him","Four-Color Control
Selesnya Landfall",Julian Lamprecht won 2-1-0
Round 6,115,"Justien Balay
Daniele Vinciguerra He/Him","Selesnya Ouroboroid
Dimir Excruciator",Daniele Vinciguerra won 2-1-0
Round 6,116,"Roberto Fabiani
Giulio Tommaso Gomitoni","Grixis Deceit
Izzet Lessons",Roberto Fabiani won 2-1-0
Round 6,117,"Jari Rentsch He/Him
Nigel Stikker He/Him","Izzet Prowess
Izzet Spellementals",Jari Rentsch won 2-1-0
Round 6,118,"Guliver He/Him
Daniel Bjerkan He/Him","Selesnya Landfall
Selesnya Landfall",Guliver won 2-0-0
Round 6,119,"filpin He/Him
Rakhi09 She/They","Selesnya Ouroboroid
Izzet Prowess",filpin won 2-0-0
Round 6,120,"Leonardo Canalejo He/Him
Calum Gittins He/Him","Boros Dragons
Izzet Prowess",Calum Gittins won 2-0-0
Round 6,121,"JamesTaylor He/Him
Kim Homsma He/Him","Selesnya Landfall
Selesnya Landfall",Kim Homsma won 2-0-0
Round 6,122,"André Compal
Andreas Nordahl","Selesnya Landfall
Izzet Lessons",Andreas Nordahl won 2-1-0
Round 6,123,"AnilDG He/Him
Landstar He/They","Azorius Prison
Selesnya Ouroboroid",Landstar won 2-0-0
Round 6,124,"Filip Tetera He/Him
Harry Burke He/Him","Bant Rhythm
Azorius Momo",Filip Tetera won 2-1-0
Round 6,125,"karim mzoughi
Lucas Hyttel He/Him","Grixis Lizards
Mono-Green Landfall",Lucas Hyttel won 2-0-0
Round 6,126,"Thomas Walder
Cantthinkofanything","Mardu Artifacts
Mono-Green Landfall",Cantthinkofanything won 2-1-0
Round 6,127,"Tim Priwe He/Him
Francesco Latorre He/Him","Izzet Prowess
Izzet Prowess",Tim Priwe won 2-0-0
Round 6,128,"Félix Maurin He/Him
Luke Merryweather He/Him","Orzhov Momo
Izzet Lessons",Félix Maurin won 2-1-0
Round 6,129,"Tudor Marin He/Him
Noz777 He/Him","Selesnya Ouroboroid
Izzet Spellementals",Tudor Marin won 2-0-0
Round 6,130,"Mihaly Varadi He/Him
gwendalvador He/Him","Azorius Prison
Selesnya Landfall",gwendalvador won 2-0-0
Round 6,131,"Verduyn He/Him
DomS17 He/Him","Izzet Prowess
Izzet Prowess",Verduyn won 2-1-0
Round 6,132,"Verena Maccari She/Her
Gianluca Boaretto He/Him","Izzet Prowess
Izzet Spellementals",Verena Maccari won 2-0-0
Round 6,133,"AgentEdward
Robert Bailey He/Him","Izzet Prowess
Izzet Prowess",AgentEdward won 2-1-0
Round 6,134,"Alvaro Nicosia He/Him
Bolutin He/They","Izzet Prowess
Dimir Midrange",Alvaro Nicosia won 2-1-0
Round 6,135,"djsuk She/Her
Martin Forrester He/They","Orzhov Lifegain
Sultai Reanimator",Martin Forrester won 2-1-0
Round 6,136,"Philip White He/They
Stefano Spurio He/Him","Izzet Prowess
Four-Color Elementals",Stefano Spurio won 2-1-0
Round 6,137,"Daniel Lind He/Him
Carlos Pacheco He/Him","Selesnya Landfall
Four-Color Control",Daniel Lind won 2-0-0
Round 6,138,"Luis Gobern He/Him
fabse He/Him","Bant Rhythm
Izzet Prowess",fabse won 2-1-0
Round 6,139,"Nabil
Jacob Hauch","Izzet Prowess
Azorius Prison",Nabil won 2-1-0
Round 6,140,"Freddie Barber He/Him
Matt MT He/Him","Gruul Leyline
Sultai Reanimator",Matt MT won 2-1-0
Round 6,141,"Daniel Larsen He/Him
Horia Vernescu He/Him","Selesnya Landfall
Selesnya Ouroboroid",Daniel Larsen won 2-0-0
Round 6,142,"Dylan Gregory-Martin He/They
Robert Pennington","Izzet Spellementals
Simic Omniscience",Dylan Gregory-Martin won 2-1-0
Round 6,143,"RyanNorthcott He/Him
soufian hriz He/Him","Boros Momo
Izzet Spellementals",soufian hriz won 2-0-0
Round 6,144,"RoreosaRory He/Him
oDwin He/Him","Four-Color Elementals
Orzhov Momo",RoreosaRory won 2-0-0
Round 6,145,"Dorian Wiese He/Him
Josh Corless He/Him","Golgari Midrange
Izzet Spellementals",Josh Corless won 2-1-0
Round 6,146,"Alex Göbel He/Him
ClementLumeau He/They","Dimir Midrange
Izzet Prowess",1-1-0 Draw
Round 6,147,"MatteoLB He/Him
Zurgo128","Four-Color Control
Izzet Lessons",MatteoLB won 2-1-0
Round 6,148,"Nick Arnold He/Him
MasterDPW","Dimir Excruciator
Four-Color Control",Nick Arnold won 2-0-0
Round 6,149,"Robert Young He/Him
197564 He/Him","Golgari Ouroboroid
Azorius Prison",Robert Young won 2-1-0
Round 6,150,"CJ Vice He/Him
Noah Anderson Weiskircher They/Them","Esper Oculus
Izzet Lessons",CJ Vice won 2-0-0
Round 6,151,"Andrei M He/Him
Alex Hillier He/Him","Izzet Prowess
Four-Color Elementals",Alex Hillier won 2-1-0
Round 6,152,"AdamPC He/Him
RyaS","Izzet Prowess
Naya Yuna",RyaS won 2-0-0
Round 6,153,"Salvatore Cardali
Mirand Shtërbani He/Him","Azorius Prison
Four-Color Control",Salvatore Cardali won 2-1-0
Round 6,154,"Fabian Jonckeer He/Him
Peppo0212 They/Them","Mono-Green Landfall
Izzet Lessons",Fabian Jonckeer won 2-0-0
Round 6,155,"Coachjennsen23 He/Him
Gwen Wall She/Her","Boros Dragons
Azorius Prison",Coachjennsen23 won 2-1-0
Round 6,156,"Seal100 He/Him
Emelia St John She/They","Dimir Bounce
Izzet Spellementals",Emelia St John won 2-0-0
Round 6,157,"Victor Manuel Graveto
Stefanos Fotiadis","Azorius Prison
Izzet Prowess",Stefanos Fotiadis won 2-1-0
Round 6,158,"Francesco Vitiello He/Him
Jonas_Erbe","Selesnya Landfall
Simic Rhythm",Jonas_Erbe won 2-0-0
Round 6,159,"Adam Jansson He/Him
Aras Şenyüz He/Him","Izzet Prowess
Izzet Prowess",Adam Jansson won 2-1-0
Round 6,160,"Kjetil Wevling He/Him
RomainAlexandre He/Him","Izzet Spellementals
Izzet Spellementals",Kjetil Wevling won 2-0-0
Round 6,161,"Lee Medhurst He/Him
ShababC He/Him","Four-Color Elementals
Simic Rhythm",Lee Medhurst won 2-0-0
Round 6,162,"Tifenn Samyn She/Her
Emilio Morabito","Izzet Spellementals
Izzet Prowess",Emilio Morabito won 2-1-0
Round 6,163,"Sam Milner He/Him
Nomae He/Him","Izzet Prowess
Selesnya Ouroboroid",Nomae won 2-0-0
Round 6,164,"Sergio Seoane He/Him
Andreas Foreman Jensen He/Him","Selesnya Landfall
Selesnya Ouroboroid",Andreas Foreman Jensen won 2-0-0
Round 6,165,"williametchells He/Him
Andrea Piemonti He/Him","Naya Legends
Izzet Lessons",williametchells won 2-1-0
Round 6,166,"Adrien Beaussart He/Him
FerruccioMicheli He/Him","Four-Color Elementals
Selesnya Landfall",FerruccioMicheli won 2-0-0
Round 6,167,"jlc93 He/Him
Kieran Malloy He/Him","Selesnya Rabbits
Izzet Prowess",Kieran Malloy won 2-0-0
Round 6,168,"Badmaths222 He/Him
Jonny Gu He/Him","Four-Color Elementals
Izzet Spellementals",Badmaths222 won 2-0-0
Round 6,169,"Pascal van Alphen
Mangara He/Him","Izzet Prowess
Azorius Prison",Mangara won 2-0-0
Round 6,170,"CalMc
TomR","Izzet Lessons
Izzet Prowess",TomR won 2-1-0
Round 6,171,"Léo Thiémard He/Him
ANNAVALILA He/Him","Bant Rhythm
Izzet Prowess",Léo Thiémard won 2-0-0
Round 6,172,"Storm Losell He/Him
Yannick29000 He/Him","Selesnya Landfall
Izzet Prowess",Storm Losell won 2-1-0
Round 6,173,"SkottCooper He/Him
WillKillsTime He/Him","Azorius Prison
Izzet Prowess",WillKillsTime won 2-0-0
Round 6,174,"Duskfire He/Him
Björn Kimminich He/Him","Selesnya Landfall
Izzet Prowess",Duskfire won 2-0-0
Round 6,175,"Ozan Sevsevil He/Him
Julian Riedener He/Him","Jeskai Control
Bant Rhythm",Ozan Sevsevil won 2-0-0
Round 6,176,"Johnathan Wilkes He/Him
Giuseppe Miele He/Him","Golgari Demons
Izzet Lessons",Johnathan Wilkes won 2-1-0
Round 6,177,"BenR4
Elyacht","Jeskai Control
Izzet Prowess",BenR4 won 2-0-0
Round 6,178,"TGalla
AdriaGarciaSarmiento He/Him","Azorius Merfolk
Azorius Prison",AdriaGarciaSarmiento won 2-0-0
Round 6,179,"Fabien Li He/Him
GiorgioCanezin He/Him","Boros Mobilize
Azorius Prison",Fabien Li won 2-1-0
Round 6,180,"Truls Mathisen He/Him
Dom He/Him","Mono-Blue Spellementals
Azorius Momo",Truls Mathisen won 2-1-0
Round 6,181,"Morgan Lebrument He/Him
Daniel Johnson He/Him","Izzet Prowess
Azorius Prison",Daniel Johnson won 2-1-0
Round 6,182,"Philippe Wirz He/Him
Kewin Lozicki He/Him","Azorius Prison
Azorius Momo",Philippe Wirz won 2-1-0
Round 6,183,"Mae French She/Her
RamC1 He/Him","Izzet Lessons
Izzet Lessons",Mae French won 2-1-0
Round 6,184,"Martin Richardson He/Him
EdGlease He/Him","Azorius Control
Izzet Spellementals",EdGlease won 2-1-0
Round 6,185,"JoshuaPyleCarter Other
nartin9 He/Him","Simic Omniscience
Izzet Prowess",JoshuaPyleCarter won 2-0-0
Round 6,186,"WompRat He/Him
Aidan Currah","Boros Mobilize
Selesnya Landfall",WompRat won 2-0-0
Round 6,187,"christian gullberg He/Him
Inherentmac He/Him","Izzet Spellementals
Grixis Discard",christian gullberg won 2-0-0
Round 6,188,"Matthieu Tassa He/Him
louisfrith He/Him","Izzet Prowess
Azorius Prison",Matthieu Tassa won 2-0-0
Round 6,189,"RobinVahland He/Him
Pebus101 He/Him","Songcrafter Control
Bant Rhythm",RobinVahland won 2-1-0
Round 6,190,"THErev23 He/Him
Pier Iaquinta He/Him","Azorius Momo
Jeskai Control",Pier Iaquinta won 2-1-0
Round 6,191,"Leaham He/Him
Nuno Duarte","Selesnya Landfall
Dimir Deceit",Leaham won 2-0-0
Round 6,192,"David Woodland He/Him
EriS28 He/Him","Izzet Spellementals
Izzet Prowess",David Woodland won 2-1-0
Round 6,193,"ALANBBBK He/Him
Jonathan Lee","Sultai Changeling
Izzet Lessons",ALANBBBK won 2-0-0
Round 6,194,"Tom8520 He/Him
Mehdi Khelfa He/Him","Bant Rhythm
Izzet Prowess",Tom8520 won 2-0-0
Round 6,195,"seany He/Him
Ghostfire17605 He/Him","Izzet Lessons
Golgari Midrange",seany won 2-0-0
Round 6,196,"Tomáš Krupička He/Him
Francesco Ghelli He/Him","Selesnya Landfall
Selesnya Ouroboroid",Francesco Ghelli won 2-1-0
Round 6,197,"Kun150 He/Him
Jack Goldsworthy He/Him","Dimir Excruciator
Izzet Prowess",Kun150 won 2-0-0
Round 6,198,"Rory McKay He/Him
KeesvanMontfoort","Azorius Momo
Izzet Prowess",KeesvanMontfoort won 2-1-0
Round 6,199,"Hannes Brandstetter
Adam Davis He/Him","Selesnya Landfall
Izzet Lessons",Hannes Brandstetter won 2-1-0
Round 6,200,"Stefan Schütz
Hiltinchest He/They","Bant Rhythm
Izzet Prowess",Stefan Schütz won 2-0-0
Round 6,201,"Mclockin He/Him
alshay2020 He/Him","Selesnya Ouroboroid
Izzet Prowess",Mclockin won 2-1-0
Round 6,202,"Jacob Borrowdale He/Him
Nicolas Prail He/Him","Izzet Prowess
Izzet Prowess",Nicolas Prail won 2-1-0
Round 6,203,"art3mique
Daniele Scatassi","Izzet Lessons
Izzet Prowess",Daniele Scatassi won 2-0-0
Round 6,204,"guislaindumont
Henry Cooke","Azorius Prison
Izzet Prowess",guislaindumont won 2-0-0
Round 6,205,"Jadrzwi He/Him
Jacob Vogts He/Him","Izzet Lessons
Izzet Lessons",Jacob Vogts won 2-0-0
Round 6,206,"jwhiley93 He/Him
dietcruella She/Her","Orzhov Sacrifice
Dimir Excruciator",dietcruella won 2-0-0
Round 6,207,"Mikki Klokkedal He/Him
Grimbakor He/They","Selesnya Landfall
Dimir Monument",Mikki Klokkedal won 2-0-0
Round 6,208,"Nate314 He/Him
ophoox He/Him","Mono-White Momo
Boros Dragons",Nate314 won 2-0-0
Round 6,209,"Stephanos Economides He/Him
Tadhg Murphy","Dimir Excruciator
Izzet Prowess",Tadhg Murphy won 2-0-0
Round 6,210,"pileshuffle
Marco Vassallo He/Him","Four-Color Elementals
Sultai Excruciator",Marco Vassallo won 2-1-0
Round 6,211,"Jan Pruchniewicz He/Him
SquirrelSovereign","Simic Omniscience
Izzet Prowess",Jan Pruchniewicz won 2-1-0
Round 6,212,"Matteo Silvestri He/Him
Sebastian Sachse","Four-Color Elementals
Temur Harmonizer",Sebastian Sachse won 2-0-0
Round 6,213,"pamkung She/Her
LuigiC He/Him","Bant Rhythm
Golgari Demons",LuigiC won 2-0-0
Round 6,214,"Emil Rasmussen He/Him
AndyHenwood","Selesnya Landfall
Mono-Green Landfall",Emil Rasmussen won 2-0-0
Round 6,215,"Teemu Alanko He/Him
Josef Zivec He/Him","Mono-White Momo
Bant Rhythm",Josef Zivec won 2-0-0
Round 6,216,"Daniel Lewis He/Him
Branoc Richards He/Him","Four-Color Control
Izzet Prowess",Branoc Richards won 2-1-0
Round 6,217,"Tien Thanh Pham He/Him
Rasmus Nilsson He/Him","Azorius Prison
Selesnya Landfall",Tien Thanh Pham won 2-0-0
Round 6,218,"krystianM He/Him
Riccardo Bragato He/Him","Izzet Lessons
Selesnya Rhythm",krystianM won 2-1-0
Round 6,219,"Dotraki
Sytse He/Him","Izzet Prowess
Sultai Control",Dotraki won 2-1-0
Round 6,220,"Derek Choi He/Him
Elia Libralato He/Him","Dimir Excruciator
Bant Rhythm",Elia Libralato won 2-1-0
Round 6,221,"Enrico Libralato He/Him
jamestimms He/They","Azorius Prison
Azorius Prison",jamestimms won 2-1-0
Round 6,222,"Lubos Leskovjansky He/They
Krister Karlsen He/Him","Mono-White Momo
Bant Rhythm",Krister Karlsen won 2-0-0
Round 6,223,"Alexander Maier He/Him
Pedro Magalhães He/Him","Izzet Lessons
Boros Dragons",Alexander Maier won 2-0-0
Round 6,224,"Hal8999 He/Him
ADSandslash He/They","Izzet Lessons
Azorius Artifacts",ADSandslash won 2-1-0
Round 6,225,"Misty Manek She/Her
Juri Barkey He/Him","Azorius Prison
Izzet Spellementals",Juri Barkey won 2-0-0
Round 6,226,"DarioCavallone
Andrew Stevenson He/Him","Bant Rhythm
Jeskai Control",Andrew Stevenson won 2-0-0
Round 6,227,"Cartheron Other
Robert Wiseman","Mono-Black Demons
Izzet Prowess",Cartheron won 2-1-0
Round 6,228,"manyrollies
Felix Wieland He/Him","Izzet Spellementals
Sultai Midrange",Felix Wieland won 2-1-0
Round 6,229,"Corrlight He/Him
AustinMi He/They","Azorius Prison
Izzet Prowess",Corrlight won 2-1-0
Round 6,230,"EvanColly He/Him
Andrew Smith He/Him","Izzet Prowess
Mono-Green Landfall",Andrew Smith won 2-1-0
Round 6,231,"Xifan He/Him
Lucas Jensen He/They","Izzet Prowess
Jeskai Control",Xifan won 2-0-0
Round 6,232,"Magnus Jørgensen He/Him
Dan Robinson","Izzet Prowess
Boros Dragons",Magnus Jørgensen won 2-0-0
Round 6,233,"NicolasM He/Him
Goblingrenade He/Him","Four-Color Control
Azorius Momo",NicolasM won 2-0-0
Round 6,234,"Dafta He/Him
Bratwurst","Mono-Green Landfall
Selesnya Landfall",Dafta won 2-0-0
Round 6,235,"Marco Vay He/Him
Alexander Gordon-Brown He/Him","Dimir Excruciator
Sultai Control",Marco Vay won 2-1-0
Round 6,236,"NilHomar
IanB3 He/Him","Golgari Midrange
Izzet Spellementals",NilHomar won 2-1-0
Round 6,237,"Bradley Bunce He/Him
Gustavo Colon He/Him","Azorius Prison
Four-Color Control",Bradley Bunce won 2-0-0
Round 6,238,"Tolga Sertbas
Mattia Colombo He/Him","Mono-Red Aggro
Dimir Control",Tolga Sertbas won 2-1-0
Round 6,239,"ShaC28
Keanjoy He/Him","Mardu Gambit
Izzet Prowess",ShaC28 won 2-0-0
Round 6,240,"AARB12 He/Him
jruxc","Azorius Prison
Dimir Excruciator",AARB12 won 2-1-0
Round 6,241,"StephenSodusta He/Him
treefr0gg","Temur Ferocious
Mono-Green Landfall",StephenSodusta won 2-1-0
Round 6,242,"rtsolo She/They
EtherealBlue She/Her","Mardu Mobilize
Izzet Spellementals",EtherealBlue won 2-1-0
Round 6,243,"Dan Stokes He/Him
Splitseven He/Him","Four-Color Control
Izzet Lessons",Dan Stokes won 2-1-0
Round 6,244,"Lilian Lescure He/Him
Pawel Makles He/Him","Dimir Excruciator
Azorius Prison",Pawel Makles won 2-1-0
Round 6,245,"Cedric Gäde
JoaoCorvina Other","Azorius Prison
Selesnya Landfall",Cedric Gäde won 2-0-0
Round 6,246,"DoubleDavey He/Him
mundisv He/Him","Selesnya Landfall
Izzet Prowess",mundisv won 2-0-0
Round 6,247,"MY13Dragonfly They/Them
Antoine Bernier He/Him","Bant Rhythm
Izzet Lessons",MY13Dragonfly won 2-0-0
Round 6,248,"Soulblighter
jjjimbo They/Them","Selesnya Ouroboroid
Izzet Lessons",Soulblighter won 2-1-0
Round 6,249,"Gwendolyn Noble She/Her
Sindre Mortensen","Bant Rhythm
Selesnya Rhythm",Sindre Mortensen won 2-0-0
Round 6,250,"Zijun Wang He/Him
kristofff He/Him","Temur Harmonizer
Dimir Excruciator",Zijun Wang won 2-0-0
Round 6,251,"AlexG1995 He/Him
Phillip Scutter-Cairns He/Him","Mono-Green Landfall
Jeskai Control",AlexG1995 won 2-1-0
Round 6,252,"HowlingFjord He/Him
JackNewell He/Him","Golgari Demons
Boros Discard",JackNewell won 2-0-0
Round 6,253,"Graveturner He/Him
Chris Grenville He/Him","Izzet Lessons
Izzet Prowess",Chris Grenville won 2-0-0
Round 6,254,"Brian Rasmussen He/Him
Krzysztof Drzewiecki He/Him","Dimir Excruciator
Azorius Repartee",Brian Rasmussen won 2-0-0
Round 6,255,"Jonny 🐘 Edmondson He/Him
Cal91 He/Him","Izzet Prowess
Dimir Deceit",Jonny 🐘 Edmondson won 2-1-0
Round 6,256,"Robin Clark She/Her
John Kai Sang Ng He/Him","Sultai Reanimator
Dimir Excruciator",Robin Clark won 2-1-0
Round 6,257,"Vincent Pernel He/Him
darkblueturbo He/Him","Dimir Artifacts
Izzet Spellementals",darkblueturbo won 2-0-0
Round 6,258,"Max Spencer He/Him
CelestinBARRE He/Him","Golgari Changelings
Golgari Skeletons",Max Spencer won 2-1-0
Round 6,259,"AndrewHM He/They
Fraser Dallachy He/Him","Azorius Control
Abzan Cosmogoyf",AndrewHM won 2-0-0
Round 6,260,"Thraxi He/Him
Conrad Scherb","Mono-Green Landfall
Jeskai Control",Conrad Scherb won 2-0-0
Round 6,261,"Luka Fuchs
Michael Rutter He/Him","Mono-Blue Tempo
Izzet Spellementals",Luka Fuchs won 2-1-0
Round 6,262,"Xcunonophus He/They
Jay_Flimmzky He/Him","Azorius Artifacts
Dimir Mill",1-1-0 Draw
Round 6,263,"Stefano Belloni He/Him
plantgirl She/Her","Izzet Prowess
Mono-Blue Spellementals",Stefano Belloni won 2-1-0
Round 6,264,"JJ Hidson He/Him
Hans Ludvig Skovli He/Him","Mono-Green Chocobo
Izzet Prowess",Hans Ludvig Skovli won 2-0-0
Round 7,1,"TomaszDudziec He/Him
Marian Bunganic He/Him","Izzet Prowess
Izzet Lessons",1-1-0 Draw
Round 7,2,"AlexMacIsaac He/Him
EricZhou He/Him","Izzet Prowess
Izzet Prowess",AlexMacIsaac won 2-0-0
